trace_name,l2_ways,l2_capacity_kb,status,instructions,cycles,ipc,l2c_total_access,l2c_total_hit,l2c_total_miss,l2c_hit_rate,l2c_mpki,l2c_avg_miss_latency,l1d_total_access,l1d_total_miss,l1d_to_l2c_ratio,llc_total_access,llc_total_hit,llc_total_miss,l2c_pf_requested,l2c_pf_issued,l2c_pf_useful,l2c_pf_useless
barnes_1.champsimtrace.xz,4,,OK,500000000,224291496,2.2292418968929613,532051,480357,51694,0.9028401412646532,0.103388,114.2449220412427,142762245,1022316,0.5204369294816866,68444,36349,32095,0,0,0,0
barnes_1.champsimtrace.xz,2,,OK,500000000,225193029,2.2203173971251124,532050,387439,144611,0.7282003571092942,0.289222,50.23635131490689,142749134,1045250,0.5090169815833533,160387,128315,32072,0,0,0,0
barnes_1.champsimtrace.xz,1,,OK,500000000,226709687,2.2054637656484437,532056,220636,311420,0.4146856721848828,0.62284,31.10508637852418,142731793,1093698,0.48647432837949783,322734,290667,32067,0,0,0,0
facesim_1.champsimtrace.xz,4,,OK,500000004,229709453,2.176662725325457,3616119,3514112,102007,0.9717910278948232,0.204013998367888,137.9999803935024,153181588,405435,8.919109105035332,147119,68977,78142,0,0,0,0
facesim_1.champsimtrace.xz,2,,OK,500000004,232895188,2.1468885136433133,3616496,2786711,829785,0.7705555322057593,1.6595699867234401,29.89875931717252,154785118,410555,8.808797846817113,862107,784058,78049,0,0,0,0
facesim_1.champsimtrace.xz,1,,OK,500000004,234829066,2.129208332327992,3617678,1796731,1820947,0.49665310179623506,3.641893970864848,21.66069852664575,155284222,411128,8.79939580860462,1835991,1757986,78005,0,0,0,0
fft_m24.champsimtrace.xz,4,,OK,500000000,251005510,1.991988144005285,4515472,4099987,415485,0.9079863633303451,0.83097,137.4520644547938,177425747,4803057,0.9401245914841319,577573,283991,293582,0,0,0,0
fft_m24.champsimtrace.xz,2,,OK,500000000,253929936,1.96904708391688,4515458,3308722,1206736,0.7327544625595012,2.413472,52.38584910038318,177424708,4822254,0.9363791289301642,1375596,1082081,293515,0,0,0,0
fft_m24.champsimtrace.xz,1,,OK,500000002,259396861,1.9275483908033875,4515446,2022927,2492519,0.44800159275517853,4.9850379800598486,29.801784058617006,177422821,4880294,0.9252405695230657,2599374,2305859,293515,0,0,0,0
radix_1.champsimtrace.xz,1,,OK,500000001,227027425,2.2023770960711024,338611,36768,301843,0.10858477722224028,0.603685998792628,100.00113311068702,152707995,209925,1.6130094081219484,338080,168827,169253,0,0,0,0
radix_1.champsimtrace.xz,4,,OK,500000001,227027425,2.2023770960711024,338611,168020,170591,0.496203608270257,0.341181999317636,173.8547168373478,152707995,209914,1.6130939337061845,338166,168916,169250,0,0,0,0
radix_1.champsimtrace.xz,2,,OK,500000001,227027425,2.2023770960711024,338611,104683,233928,0.3091541621506685,0.467855999064288,127.8677086049683,152707995,209914,1.6130939337061845,338004,168751,169253,0,0,0,0
ocean_cp_1.champsimtrace.xz,2,,OK,500000003,269479313,1.8554300047514223,1855028,641888,1213140,0.3460260438117376,2.42627998544232,115.60041149481758,173380524,2452278,0.7564509407171618,1435130,743212,691918,0,0,0,0
ocean_cp_1.champsimtrace.xz,1,,OK,500000004,271402650,1.842281215750841,1855060,300364,1554696,0.16191605662350544,3.109391975124864,93.04760446804049,173377553,2585005,0.7176233701675625,1717074,1025158,691916,0,0,0,0
streamcluster_1.champsimtrace.xz,2,,OK,500000001,391812592,1.2761202963073734,1068748,9573,1059175,0.00895720974448607,2.1183499957633,176.92907687587038,156243409,2189550,0.48811308259688063,1061692,57171,1004521,0,0,0,0
streamcluster_1.champsimtrace.xz,1,,OK,500000001,391824892,1.2760802368829594,1068750,4390,1064360,0.0041076023391812865,2.12871999574256,176.07982167687624,156243409,2189615,0.4880995060775524,1065695,61190,1004505,0,0,0,0
barnes_1.champsimtrace.xz,8,,OK,500000000,224155479,2.230594595459342,532051,493408,38643,0.9273697446297441,0.077286,147.80547576533914,142763287,1019108,0.5220751873206765,54342,22209,32133,0,0,0,0
facesim_1.champsimtrace.xz,8,,OK,500000004,229552182,2.178154002474261,3616128,3530558,85570,0.9763365677321156,0.17113999863088,161.99807175411942,153175846,401468,9.007263343529248,129674,51545,78129,0,0,0,0
barnes_1.champsimtrace.xz,16,,OK,500000000,224095444,2.2311921700648227,532052,498470,33582,0.9368821092675153,0.067164,167.599904710857,142763492,1018060,0.5226135984126672,45462,13274,32188,0,0,0,0
ocean_cp_1.champsimtrace.xz,4,,OK,500000002,265957631,1.8799987055080964,1854756,1071417,783339,0.5776592716238685,1.5666779937332882,170.92217162684355,173392162,2256490,0.8219650873702077,1015448,323551,691897,0,0,0,0
