trace_name,config_name,config_label,l2_ways,l2c_capacity_kb,status,instructions,cycles,ipc,l2c_total_access,l2c_total_hit,l2c_total_miss,l2c_hit_rate,l2c_mpki,l2c_avg_miss_latency,l1i_total_access,l1i_total_hit,l1i_total_miss,l1i_hit_rate,l1i_mpki,l1d_total_access,l1d_total_miss,llc_total_access,llc_total_hit,llc_total_miss,decode_starvation_cycles,branch_mispredict_rate,emissary_p1_evictions,emissary_p0_evictions,emissary_p1_ratio
barnes_1.champsimtrace.xz,lru4w,Extra LRU 4W,4,256.000000,OK,500000000,224291496,2.229242,532051,480357,51694,0.902840,0.103388,114.244922,84219,84219,0,1.000000,0.000000,142762245,1022316,68444,36349,32095,0,5.162600,-1,-1,-1.000000
barnes_1.champsimtrace.xz,baseline,Baseline LRU 8W,8,512.000000,OK,500000000,224155479,2.230595,532051,493408,38643,0.927370,0.077286,147.805476,84219,84219,0,1.000000,0.000000,142763287,1019108,54342,22209,32133,0,5.162600,-1,-1,-1.000000
barnes_1.champsimtrace.xz,emissary,Phase1 EMISSARY 8W,8,512.000000,OK,500000000,224155479,2.230595,532051,493373,38678,0.927304,0.077356,147.674776,84219,84219,0,1.000000,0.000000,142763277,1019117,54356,22225,32131,0,5.162600,-1,-1,0.000000
barnes_1.champsimtrace.xz,partitioned,Phase2 Partitioned 4+4W,8,512.000000,OK,500000000,224180289,2.230348,532051,485632,46419,0.912755,0.092838,124.113380,84219,84219,0,1.000000,0.000000,142762712,1021154,61879,29983,31896,0,5.162600,-1,-1,-1.000000
facesim_1.champsimtrace.xz,partitioned,Phase2 Partitioned 4+4W,8,512.000000,OK,500000004,229648775,2.177238,3616123,3516574,99549,0.972471,0.199098,140.719816,62468825,56576293,5892532,0.905672,11.785064,153180944,405621,143325,65409,77916,0,3.222080,-1,-1,-1.000000
facesim_1.champsimtrace.xz,lru4w,Extra LRU 4W,4,256.000000,OK,500000004,229709453,2.176663,3616119,3514112,102007,0.971791,0.204014,137.999980,62469044,56575976,5893068,0.905664,11.786136,153181588,405435,147119,68977,78142,0,3.222080,-1,-1,-1.000000
facesim_1.champsimtrace.xz,emissary,Phase1 EMISSARY 8W,8,512.000000,OK,500000004,229552202,2.178154,3616127,3530379,85748,0.976287,0.171496,161.808322,62469761,56578133,5891628,0.905688,11.783256,153175772,401717,129734,51589,78145,0,3.222080,-1,-1,0.000000
facesim_1.champsimtrace.xz,baseline,Baseline LRU 8W,8,512.000000,OK,500000004,229552182,2.178154,3616128,3530558,85570,0.976337,0.171140,161.998072,62469626,56578014,5891612,0.905688,11.783224,153175846,401468,129674,51545,78129,0,3.222080,-1,-1,-1.000000
x264_1.champsimtrace.xz,emissary,Phase1 EMISSARY 8W,8,512.000000,OK,500000000,284682132,1.756345,7989204,6882423,1106781,0.861465,2.213562,105.027150,55222179,50123350,5098829,0.907667,10.197658,155908962,5430956,1228752,727774,500978,0,6.185920,-1,-1,0.000000
x264_1.champsimtrace.xz,baseline,Baseline LRU 8W,8,512.000000,OK,500000000,284699283,1.756239,7989203,6879827,1109376,0.861141,2.218752,104.856299,55222552,50123641,5098911,0.907666,10.197822,155908439,5431394,1233811,732705,501106,0,6.185920,-1,-1,-1.000000
x264_1.champsimtrace.xz,partitioned,Phase2 Partitioned 4+4W,8,512.000000,OK,500000000,288785796,1.731387,7989093,5857597,2131496,0.733199,4.262992,60.003095,55158235,50110175,5048060,0.908480,10.096120,155975382,5428292,2263362,1776965,486397,0,6.185920,-1,-1,-1.000000
x264_1.champsimtrace.xz,lru4w,Extra LRU 4W,4,256.000000,OK,500000001,291327414,1.716282,7989073,5370912,2618161,0.672282,5.236322,52.600100,55182334,50139272,5043062,0.908611,10.086124,155979344,5447208,2812861,2314756,498105,0,6.185920,-1,-1,-1.000000
fft_m24.champsimtrace.xz,baseline,Baseline LRU 8W,8,512.000000,OK,500000000,250164757,1.998683,4515478,4217102,298376,0.933922,0.596752,187.780931,49425196,49425196,0,1.000000,0.000000,177425943,4802135,444847,148862,295985,0,2.640704,-1,-1,-1.000000
fft_m24.champsimtrace.xz,emissary,Phase1 EMISSARY 8W,8,512.000000,OK,500000000,250164757,1.998683,4515478,4217102,298376,0.933922,0.596752,187.780636,49425196,49425196,0,1.000000,0.000000,177425943,4802135,444763,148778,295985,0,2.640704,-1,-1,0.000000
fft_m24.champsimtrace.xz,partitioned,Phase2 Partitioned 4+4W,8,512.000000,OK,500000000,250915820,1.992700,4515468,4099695,415773,0.907923,0.831546,137.042557,49489404,49489404,0,1.000000,0.000000,177425717,4802271,568307,274727,293580,0,2.640704,-1,-1,-1.000000
fft_m24.champsimtrace.xz,lru4w,Extra LRU 4W,4,256.000000,OK,500000000,251005510,1.991988,4515472,4099987,415485,0.907986,0.830970,137.452064,49492671,49492671,0,1.000000,0.000000,177425747,4803057,577573,283991,293582,0,2.640704,-1,-1,-1.000000
