trace_name,status,instructions,cycles,ipc,l2c_total_access,l2c_total_hit,l2c_total_miss,l2c_hit_rate,l2c_miss_rate,l2c_mpki,l2c_load_access,l2c_load_hit,l2c_load_miss,l2c_rfo_access,l2c_rfo_hit,l2c_rfo_miss,l2c_write_access,l2c_write_hit,l2c_write_miss,l2c_prefetch_access,l2c_prefetch_hit,l2c_prefetch_miss,l2c_translation_access,l2c_translation_hit,l2c_translation_miss,l2c_pf_requested,l2c_pf_issued,l2c_pf_useful,l2c_pf_useless,l2c_avg_miss_latency,l1d_total_access,l1d_total_miss,l1d_to_l2c_ratio,llc_total_access,llc_total_hit,llc_total_miss,l2c_to_llc_ratio
barnes_1.champsimtrace.xz,OK,500000000,224155479,2.230594595459342,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,54342,22209,32133,0.0
bc_kron22.champsimtrace.xz,OK,500000000,915305892,0.5462654664086878,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6806585,1111159,5695426,0.0
bc_urand22.champsimtrace.xz,ERROR: TIMEOUT,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
bfs_kron22.champsimtrace.xz,ERROR: TIMEOUT,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
bfs_kron22_n64.champsimtrace.xz,ERROR: TIMEOUT,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
bfs_urand22_n64.champsimtrace.xz,ERROR: TIMEOUT,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
blackscholes_1.champsimtrace.xz,OK,500000004,285289518,1.752605589946701,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,445758,342150,103608,0.0
cc_kron22.champsimtrace.xz,ERROR: TIMEOUT,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
cc_urand22.champsimtrace.xz,ERROR: TIMEOUT,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
cholesky_1.champsimtrace.xz,OK,500000003,241757690,2.0681865507566686,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,677677,595474,82203,0.0
